Shooter,X,Y,Z,Weapon
chopper,-1873.68,-1076.02,-415.97,Glock-18
chopper,-1819.61,-1084.40,-415.97,Glock-18
chopper,-1747.14,-1116.74,-415.97,Glock-18
chopper,-1586.69,-1117.86,-415.97,Glock-18
chopper,-1501.89,-1114.29,-415.97,Glock-18
chopper,-1428.74,-1105.95,-415.97,Glock-18
chopper,-1343.79,-1092.58,-415.97,Glock-18
chopper,-1289.18,-1079.34,-415.97,Glock-18
chopper,-392.86,-887.80,-415.97,HE Grenade
chopper,-149.34,-1109.80,-415.97,Flashbang
zweih,-197.75,-1099.03,-415.97,Smoke Grenade
zont1x,131.24,-902.07,-415.97,Flashbang
sh1ro,-380.95,-1150.62,-116.80,Molotov
KSCERATO,1096.07,-393.47,-127.97,Flashbang
chopper,373.19,-1246.92,-392.75,Glock-18
chopper,408.99,-1234.52,-415.97,Glock-18
zweih,341.34,-1250.64,-351.67,Glock-18
YEKINDAR,764.37,-1575.43,-415.97,USP-S
sh1ro,-275.36,-1162.90,-124.45,Flashbang
chopper,444.88,-1226.82,-415.97,Glock-18
zweih,367.23,-1231.61,-379.47,Glock-18
chopper,477.75,-1225.34,-415.97,Glock-18
zweih,362.82,-1229.69,-412.42,Glock-18
zweih,353.87,-1242.11,-415.97,Glock-18
zweih,353.60,-1244.09,-415.97,Glock-18
donk,287.84,-1270.92,-415.97,Glock-18
donk,314.27,-1253.94,-415.97,Glock-18
donk,348.80,-1241.91,-415.97,Glock-18
chopper,631.29,-1233.07,-369.97,Glock-18
yuurih,869.61,-725.26,-399.97,USP-S
yuurih,855.80,-700.34,-399.97,USP-S
chopper,693.41,-1237.08,-415.97,Glock-18
yuurih,855.49,-670.05,-399.97,USP-S
chopper,709.39,-1240.98,-415.97,Glock-18
yuurih,857.18,-645.50,-399.97,USP-S
yuurih,847.75,-629.37,-399.97,USP-S
chopper,724.90,-1244.52,-415.97,Glock-18
zweih,603.82,-1262.83,-415.97,Glock-18
yuurih,850.88,-617.07,-399.97,USP-S
chopper,740.51,-1247.85,-415.97,Glock-18
zweih,640.36,-1256.75,-415.97,Glock-18
KSCERATO,1003.59,-446.33,-127.97,USP-S
yuurih,865.81,-615.33,-399.97,USP-S
chopper,761.36,-1251.54,-415.97,Glock-18
yuurih,858.53,-613.43,-399.97,USP-S
KSCERATO,1011.97,-450.76,-127.97,USP-S
zweih,702.90,-1232.25,-415.97,Glock-18
chopper,796.06,-1256.94,-415.97,Glock-18
yuurih,848.64,-611.91,-399.97,USP-S
zweih,714.89,-1221.52,-415.97,Glock-18
KSCERATO,1010.46,-448.20,-127.97,USP-S
yuurih,834.20,-610.36,-399.97,USP-S
zweih,731.97,-1212.50,-415.97,Glock-18
chopper,807.92,-1258.31,-415.97,Glock-18
yuurih,822.48,-606.43,-399.97,USP-S
zweih,746.97,-1204.01,-415.97,Glock-18
chopper,815.45,-1258.71,-415.97,Glock-18
KSCERATO,1004.37,-411.09,-127.97,USP-S
chopper,857.14,-1269.10,-415.97,Glock-18
KSCERATO,996.90,-408.63,-127.97,USP-S
KSCERATO,977.92,-404.10,-127.97,USP-S
KSCERATO,967.75,-402.50,-127.97,USP-S
chopper,899.25,-1349.39,-415.97,Glock-18
zont1x,416.88,-957.69,-391.97,Glock-18
KSCERATO,969.57,-402.70,-127.97,USP-S
molodoy,336.07,-796.43,-391.97,Dual Berettas
zont1x,428.35,-967.09,-391.97,Glock-18
yuurih,737.70,-608.78,-399.97,Smoke Grenade
molodoy,342.16,-803.60,-391.97,Dual Berettas
zont1x,439.38,-967.13,-391.97,Glock-18
zweih,880.86,-1111.26,-415.97,Glock-18
molodoy,352.10,-812.00,-391.97,Dual Berettas
zont1x,439.89,-968.11,-391.97,Glock-18
zweih,887.73,-1101.85,-415.97,Glock-18
molodoy,339.07,-820.17,-391.97,Dual Berettas
molodoy,337.08,-825.33,-391.97,Dual Berettas
KSCERATO,959.51,-383.46,-127.97,USP-S
zweih,890.89,-1097.35,-415.97,Glock-18
zweih,887.78,-1103.19,-415.97,Glock-18
KSCERATO,972.51,-384.28,-127.97,USP-S
molodoy,337.44,-824.99,-391.97,Dual Berettas
molodoy,340.22,-818.26,-391.97,Dual Berettas
molodoy,349.84,-798.01,-391.97,Dual Berettas
molodoy,352.55,-792.95,-391.97,Dual Berettas
zweih,849.38,-1122.21,-415.97,Glock-18
KSCERATO,970.02,-383.42,-127.97,USP-S
molodoy,356.84,-786.67,-391.97,Dual Berettas
chopper,904.17,-1471.67,-415.97,Glock-18
molodoy,358.76,-783.89,-391.97,Dual Berettas
zweih,868.86,-1110.05,-415.97,Glock-18
zweih,862.80,-1120.78,-415.97,Glock-18
KSCERATO,980.50,-358.72,-127.97,USP-S
zweih,689.48,-974.13,-415.97,Glock-18
yuurih,360.42,-584.80,-415.97,USP-S
yuurih,378.50,-576.34,-415.97,USP-S
yuurih,384.65,-572.67,-415.97,USP-S
chopper,911.21,-1467.90,-415.97,Glock-18
yuurih,397.32,-559.01,-415.97,USP-S
KSCERATO,964.12,-332.51,-127.97,USP-S
chopper,901.97,-1467.25,-415.97,Glock-18
KSCERATO,973.43,-332.81,-127.97,USP-S
KSCERATO,985.58,-333.77,-127.97,USP-S
chopper,893.66,-1471.89,-415.97,Glock-18
zweih,559.16,-765.63,-399.97,Glock-18
zweih,524.12,-770.33,-399.97,Glock-18
zweih,488.47,-777.07,-391.97,Glock-18
yuurih,643.51,-368.47,-415.97,USP-S
zweih,433.57,-790.93,-391.97,Glock-18
yuurih,676.37,-382.16,-415.97,USP-S
zweih,444.42,-790.03,-391.97,Glock-18
yuurih,705.78,-405.61,-415.97,USP-S
zweih,467.76,-793.38,-391.97,Glock-18
zweih,499.45,-797.31,-399.97,Glock-18
zweih,530.48,-802.29,-399.97,Glock-18
yuurih,843.44,-476.48,-415.97,USP-S
chopper,805.06,-1346.87,-415.97,Glock-18
yuurih,843.31,-476.90,-415.97,USP-S
yuurih,843.95,-476.90,-415.97,USP-S
FalleN,981.95,-718.59,-127.97,P2000
zweih,713.68,-838.78,-399.97,Glock-18
zweih,705.13,-814.10,-399.97,Glock-18
sh1ro,551.13,-1236.75,-415.97,Glock-18
sh1ro,547.69,-1235.08,-415.97,Glock-18
KSCERATO,990.84,-357.34,-127.97,USP-S
sh1ro,559.52,-1240.86,-415.97,Glock-18
sh1ro,561.48,-1241.72,-415.97,Glock-18
KSCERATO,1020.59,-372.93,-127.97,USP-S
sh1ro,558.79,-1240.40,-415.97,Glock-18
KSCERATO,1028.86,-377.35,-127.97,USP-S
zweih,809.01,-834.02,-399.97,Glock-18
sh1ro,563.94,-1243.17,-415.97,Glock-18
yuurih,923.53,-582.31,-414.97,USP-S
sh1ro,554.46,-1238.15,-415.97,Glock-18
KSCERATO,1038.91,-382.87,-127.97,USP-S
yuurih,916.14,-583.99,-414.97,USP-S
zweih,805.96,-832.23,-399.97,Glock-18
sh1ro,542.17,-1231.38,-415.97,Glock-18
KSCERATO,1048.31,-388.08,-127.97,USP-S
yuurih,890.42,-574.61,-406.38,USP-S
zweih,793.42,-827.04,-399.97,Glock-18
sh1ro,527.42,-1227.98,-415.97,Glock-18
KSCERATO,1057.81,-392.51,-127.97,USP-S
zweih,781.35,-824.58,-399.97,Glock-18
KSCERATO,1065.73,-397.49,-127.97,USP-S
yuurih,766.73,-390.93,-415.97,USP-S
sh1ro,922.74,-1029.71,-415.97,Glock-18
yuurih,770.08,-390.20,-415.97,USP-S
sh1ro,913.26,-1022.25,-415.97,Glock-18
yuurih,753.79,-394.11,-415.97,USP-S
sh1ro,901.63,-1021.18,-415.97,Glock-18
yuurih,753.38,-394.08,-415.97,USP-S
sh1ro,897.74,-1020.78,-415.97,Glock-18
yuurih,789.78,-385.17,-415.97,USP-S
sh1ro,728.79,-921.58,-407.59,Glock-18
KSCERATO,1008.01,-341.58,-127.97,USP-S
sh1ro,727.36,-921.80,-407.64,Glock-18
KSCERATO,1020.78,-347.70,-127.97,USP-S
sh1ro,727.56,-921.93,-407.68,Glock-18
sh1ro,728.63,-922.51,-407.81,Glock-18
KSCERATO,1023.14,-347.20,-127.97,USP-S
zweih,456.95,-1350.78,-415.97,Glock-18
zweih,438.75,-1335.50,-415.97,Glock-18
KSCERATO,1091.15,-346.34,-127.97,USP-S
zweih,432.19,-1351.13,-415.97,Glock-18
zweih,447.38,-1394.80,-415.97,Glock-18
KSCERATO,1099.99,-327.53,-127.97,USP-S
sh1ro,488.20,-792.02,-391.97,Glock-18
sh1ro,1066.84,-442.84,-597.97,Glock-18
donk,-1808.00,-1089.00,-415.97,Glock-18
donk,-1799.20,-1098.08,-415.97,Glock-18
donk,-1765.69,-1132.60,-415.97,Glock-18
chopper,-1768.85,-1220.44,-407.97,Glock-18
donk,-1721.29,-1159.42,-415.97,Glock-18
chopper,-1736.35,-1222.79,-407.97,Glock-18
donk,-1629.55,-1171.37,-415.97,Glock-18
chopper,-1706.67,-1224.75,-407.97,Glock-18
donk,-1581.42,-1171.96,-415.97,Glock-18
chopper,-1681.88,-1229.47,-415.97,Glock-18
chopper,-1656.66,-1227.70,-415.97,Glock-18
donk,-802.40,-1195.66,-413.97,Knife
zont1x,-891.94,-927.04,-369.83,Smoke Grenade
FalleN,1176.46,-311.82,-415.97,Knife
FalleN,1132.89,-255.02,-415.47,Knife
